,corr,corr,corr,corr,rmse,rmse,mae,mae,r2,r2
,mean,std,min,max,mean,std,mean,std,mean,std
model,,,,,,,,,,
LightGBM,0.5586,0.0291,0.5136,0.599,1.2019,0.0324,0.9503,0.0264,0.3053,0.0366
RandomForest,0.5288,0.0347,0.4789,0.5657,1.2719,0.0451,1.0035,0.0308,0.2232,0.0189
SVR,0.5058,0.0477,0.4362,0.5682,1.2692,0.0486,0.9958,0.0366,0.2263,0.0316
XGBoost,0.5359,0.0345,0.4918,0.5921,1.2213,0.0552,0.9664,0.0411,0.2836,0.0346
elastic_net,0.6521,0.0368,0.5934,0.6959,1.107,0.0327,0.8594,0.0328,0.4104,0.039
gBLUP,0.3362,0.0353,0.2936,0.3838,1.5764,0.1323,1.242,0.1371,-0.2167,0.3162
lasso,0.6514,0.0357,0.5917,0.6852,1.1112,0.0283,0.8617,0.0278,0.4062,0.0324
ridge,0.5301,0.0411,0.4628,0.5789,1.2404,0.0386,0.9811,0.0413,0.2584,0.0727
